"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"39";"2019-03-28 15:24:28";"Shoulder";"1267";"Shoulder Press (Machine)";"2";"40.0";"8";"";"";"";"";""
"39";"2019-03-28 15:24:28";"Shoulder";"1267";"Shoulder Press (Machine)";"3";"45.0";"5";"";"";"";"";""
"39";"2019-03-28 15:24:28";"Shoulder";"1267";"Shoulder Press (Machine)";"4";"45.0";"3";"";"";"";"";""
"39";"2019-03-28 15:24:28";"Shoulder";"1267";"Shoulder Press (Machine)";"5";"45.0";"4";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Deadlift (Barbell)";"1";"40.0";"15";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Deadlift (Barbell)";"2";"60.0";"4";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Deadlift (Barbell)";"3";"70.0";"5";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Deadlift (Barbell)";"4";"70.0";"3";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Deadlift (Barbell)";"5";"70.0";"3";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Leg Press";"1";"100.0";"15";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Leg Press";"2";"120.0";"12";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Leg Press";"3";"150.0";"8";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Leg Press";"4";"150.0";"12";"";"";"";"";""
"40";"2019-03-31 05:42:20";"Leg";"4422";"Leg Press";"5";"170.0";"12";"";"";"";"";""
