"Workout #";"Date";"Workout Name";"Duration (sec)";"Exercise Name";"Set Order";"Weight (kg)";"Reps";"RPE";"Distance (meters)";"Seconds";"Notes";"Workout Notes"
"138";"2019-11-07 14:24:31";"Back, Core, Biceps";"2227";"Bicep Curl (Cable)";"4";"19.0";"4";"";"";"";"";""
"138";"2019-11-07 14:24:31";"Back, Core, Biceps";"2227";"Knee Raise (Captain's Chair)";"1";"0.0";"30";"";"";"";"";""
"138";"2019-11-07 14:24:31";"Back, Core, Biceps";"2227";"Knee Raise (Captain's Chair)";"2";"0.0";"30";"";"";"";"";""
"138";"2019-11-07 14:24:31";"Back, Core, Biceps";"2227";"Knee Raise (Captain's Chair)";"3";"0.0";"30";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Deadlift (Barbell)";"1";"40.0";"12";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Deadlift (Barbell)";"2";"60.0";"4";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Deadlift (Barbell)";"3";"60.0";"3";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Deadlift (Barbell)";"4";"60.0";"5";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Leg Press";"1";"80.0";"15";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Leg Press";"2";"80.0";"15";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Leg Press";"3";"80.0";"15";"";"";"";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Plank";"1";"";"";"";"";"75.0";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Plank";"2";"";"";"";"";"80.0";"";""
"139";"2019-11-09 10:46:24";"Leg";"4186";"Plank";"3";"";"";"";"";"60.0";"";""
